Subdistrict;Index
Priisle;1
Siili;2
Mustamäe;3
Kuristiku;4
Sitsi;5
Sääse;6
Pae;7
Rahumäe;8
Kadaka;9
Pelgulinn;10
Lilleküla;11
Kopli;12
Maarjamäe;13
Mustakivi;14
Kalamaja;15
Merivälja;16
Kivimäe;17
Männiku;18
Laagna;19
Uus Maailm;20
Pääsküla;21
Laagri;22
Pirita;23
Sadama;24
Seli;25
Sikupilli;26
Tatari;27
Hiiu;28
Kakumäe;29
Kadriorg;30
Veskimetsa;31
Pelguranna;32
Väike-Õismäe;33
Vanalinn;34
Katleri;35
Haabersti;36
Õismäe;37
Kose;38
Nõmme;39
Mähe;40
Tiskre;41
Rocca al Mare;42
Kompassi;43
Astangu;44
Pikaliiva;45
Südalinn;46
Juhkentali;47
Torupilli;48
Vana-Mustamäe;49
Tõnismäe;50
Kelmiküla;51
Keldrimäe;52
Tondiraba;53
Kurepõllu;54
Veerenni;55
Liiva;56
Kitseküla;57
Tondi;58
Raudalu;59
Kassisaba;60
Paljassaare;61
Raua;62
Vismeistri;63
Karjamaa;64
Maakri;65
Ülemiste järve;66
Loopealse;67
Kloostrimetsa;68
Mustjõe;69
Järve;70
Lepiku;71
Luite;72
Uuslinn;73
Ülemiste;74
Sibulaküla;75
Paevälja;76
Väo;77
Laiaküla;78
Mõigu;79
Iru;80
Merimetsa;81
Mäeküla;82
Aegna;83
Sõjamäe;84
